text,label,char_len,token_len
法国的首都是哪里？,0,9,6
日本的首都是哪里？,0,9,6
意大利的首都是哪里？,0,10,6
德国的首都是哪里？,0,9,6
西班牙的首都是哪里？,0,10,6
加拿大的首都是哪里？,0,10,6
澳大利亚的首都是哪里？,0,11,6
巴西的首都是哪里？,0,9,6
埃及的首都是哪里？,0,9,6
印度的首都是哪里？,0,9,6
中国的首都是哪里？,0,9,5
英国的首都是哪里？,0,9,6
韩国的首都是哪里？,0,9,6
泰国的首都是哪里？,0,9,6
新加坡是城市国家吗？,0,10,6
世界上面积最大的海洋是哪一个？,0,15,7
世界上海拔最高的山峰通常认为是哪一座？,0,19,12
尼罗河主要位于哪个大洲？,0,12,9
亚马孙雨林主要位于哪个大洲？,0,14,10
撒哈拉沙漠主要位于哪个大洲？,0,14,10
水的化学式是什么？,0,9,6
二氧化碳的化学式是什么？,0,12,6
氧气的化学式通常写作什么？,0,13,8
氯化钠的常见名称是什么？,0,12,8
地球围绕哪颗恒星公转？,0,11,9
月球是地球的天然卫星吗？,0,12,9
植物光合作用主要吸收哪种气体？,0,15,9
人体红细胞主要负责运输哪种气体？,0,16,9
DNA 的全称通常是什么？,0,13,7
牛顿第一定律通常描述什么现象？,0,15,9
标准状况下水的冰点约是多少摄氏度？,0,17,13
标准大气压下水的沸点约是多少摄氏度？,0,18,14
声音在真空中能传播吗？,0,11,8
太阳系中距离太阳最近的行星是哪一颗？,0,18,12
太阳系中体积最大的行星是哪一颗？,0,16,10
地球的大气中含量最高的气体是什么？,0,17,9
电荷的基本单位通常用什么表示？,0,15,9
力的国际单位是什么？,0,10,6
能量的国际单位是什么？,0,11,6
频率的国际单位是什么？,0,11,6
2 加 3 等于几？,0,10,10
9 乘以 8 等于几？,0,11,12
12 的平方是多少？,0,10,6
圆的面积公式是什么？,0,10,6
三角形内角和是多少度？,0,11,8
直角三角形中勾股定理的基本公式是什么？,0,19,13
质数 2 是偶数吗？,0,10,9
0 是自然数吗？请说明常见数学约定下的情况。,0,22,14
十进制中的 1/2 等于多少小数？,0,17,16
十进制中的 1/4 等于多少小数？,0,17,16
《西游记》的作者通常认为是谁？,0,15,11
《红楼梦》的作者通常认为是谁？,0,15,9
《三国演义》的作者通常认为是谁？,0,16,11
《水浒传》的作者通常认为是谁？,0,15,11
莎士比亚是哪国语言文学中的重要作家？,0,18,12
《哈姆雷特》的作者是谁？,0,12,10
《堂吉诃德》的作者是谁？,0,12,10
《荷马史诗》通常包括哪两部史诗？,0,16,12
孔子是中国古代哪一学派的重要代表人物？,0,19,11
柏拉图是古希腊哲学家吗？,0,12,10
第一次世界大战通常认为开始于哪一年？,0,18,10
第二次世界大战通常认为结束于哪一年？,0,18,10
秦朝是中国历史上第一个大一统中央集权王朝吗？,0,22,14
造纸术通常被列为中国古代四大发明之一吗？,0,20,12
指南针通常被列为中国古代四大发明之一吗？,0,20,12
活字印刷术通常与毕昇有关吗？,0,14,11
美国独立宣言发表于哪一年？,0,13,8
法国大革命通常认为爆发于哪一年？,0,16,10
古埃及文明与尼罗河流域关系密切吗？,0,17,11
古巴比伦文明与两河流域关系密切吗？,0,17,12
CPU 在计算机中通常指什么？,0,15,8
GPU 在计算机中通常指什么？,0,15,8
RAM 通常指计算机中的哪类存储？,0,17,10
HTTP 是互联网上常见的什么协议？,0,18,8
HTML 主要用于描述网页的什么？,0,17,9
Python 是一种编程语言吗？,0,16,7
二进制数 1010 等于十进制多少？,0,18,18
机器学习中的训练集通常用于做什么？,0,17,9
监督学习通常需要带标签的数据吗？,0,16,9
神经网络中的参数通常通过训练过程更新吗？,0,20,11
篮球比赛中常规投篮命中通常计几分？,0,17,10
篮球比赛中三分线外投篮命中通常计几分？,0,19,12
足球比赛中进一球通常计几分？,0,14,9
奥林匹克运动会通常每几年举办一次？,0,17,8
马拉松比赛的标准距离约是多少公里？,0,17,8
国际象棋中的王被将死意味着什么？,0,16,11
围棋棋盘标准规格通常是多少路？,0,15,9
乒乓球起源并发展为现代竞技运动通常与英国有关吗？,0,24,14
网球比赛中的大满贯通常包括几项赛事？,0,18,12
排球比赛中一方通常最多触球几次后必须将球击过网？,0,24,17
英语字母表有多少个字母？,0,12,7
汉语普通话中“你好”通常是什么意思？,0,18,10
英文单词 cat 通常表示什么动物？,0,18,9
英文单词 water 通常是什么意思？,0,19,8
拉丁字母 A 是英文字母表的第几个字母？,0,20,13
“同义词”通常指意思相近的词吗？,0,16,13
“反义词”通常指意思相反或相对的词吗？,0,19,15
句号在中文书面语中通常表示一句话结束吗？,0,20,13
