text,label,char_len,token_len
"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",0,34,18
"请回答下面查询。
对象：唐古拉山主峰
属性：主要设计者
答案：",1,31,22
"请回答下面查询。
对象：电流
属性：国际单位
答案：",0,26,16
"请回答下面查询。
对象：功率
属性：国际单位
答案：",0,26,16
"请回答下面查询。
对象：氧
属性：主要流经大洲
答案：",1,27,19
"请回答下面查询。
对象：放射性活度
属性：出生国家
答案：",1,29,19
"请回答下面查询。
对象：甲烷
属性：化学式
答案：",0,25,17
"请回答下面查询。
对象：联合国儿童基金会
属性：总部所在地
答案：",0,33,18
"请回答下面查询。
对象：体积
属性：国际单位
答案：",0,26,16
"请回答下面查询。
对象：氯
属性：化学符号
答案：",0,25,16
"请回答下面查询。
对象：《变形记》
属性：作者
答案：",0,27,18
"请回答下面查询。
对象：印度河
属性：化学符号
答案：",1,27,17
"请回答下面查询。
对象：干城章嘉峰
属性：主要设计者
答案：",1,30,21
"请回答下面查询。
对象：Python
属性：主要设计者
答案：",0,31,17
"请回答下面查询。
对象：世界自然基金会
属性：化学式
答案：",1,30,18
"请回答下面查询。
对象：联合国教科文组织
属性：总部所在地
答案：",0,33,20
"请回答下面查询。
对象：速度
属性：出生国家
答案：",1,26,16
"请回答下面查询。
对象：门捷列夫
属性：出生国家
答案：",0,28,19
"请回答下面查询。
对象：珠穆朗玛峰
属性：所在山脉
答案：",0,29,20
"请回答下面查询。
对象：铅
属性：化学符号
答案：",0,25,16
"请回答下面查询。
对象：维苏威火山
属性：主要设计者
答案：",1,30,20
"请回答下面查询。
对象：功率
属性：出生国家
答案：",1,26,16
"请回答下面查询。
对象：银
属性：主要流经大洲
答案：",1,27,19
"请回答下面查询。
对象：Python
属性：所在山脉
答案：",1,30,16
"请回答下面查询。
对象：勒拿河
属性：主要流经大洲
答案：",0,29,21
"请回答下面查询。
对象：丘吉尔
属性：国际单位
答案：",1,27,18
"请回答下面查询。
对象：黄山
属性：主要设计者
答案：",1,27,17
"请回答下面查询。
对象：硅
属性：主要流经大洲
答案：",1,27,19
"请回答下面查询。
对象：国际标准化组织
属性：总部所在地
答案：",0,32,18
"请回答下面查询。
对象：肯尼亚
属性：作者
答案：",1,25,16
"请回答下面查询。
对象：钾
属性：化学符号
答案：",0,25,16
"请回答下面查询。
对象：尼罗河
属性：化学符号
答案：",1,27,18
"请回答下面查询。
对象：钠
属性：化学符号
答案：",0,25,16
"请回答下面查询。
对象：多瑙河
属性：化学符号
答案：",1,27,18
"请回答下面查询。
对象：墨西哥
属性：首都
答案：",0,25,15
"请回答下面查询。
对象：莫扎特
属性：国际单位
答案：",1,27,18
"请回答下面查询。
对象：汞
属性：主要流经大洲
答案：",1,27,19
"请回答下面查询。
对象：C++
属性：所在山脉
答案：",1,27,16
"请回答下面查询。
对象：长度
属性：国际单位
答案：",0,26,16
"请回答下面查询。
对象：越南
属性：作者
答案：",1,24,15
"请回答下面查询。
对象：盐酸
属性：化学式
答案：",0,25,17
"请回答下面查询。
对象：频率
属性：出生国家
答案：",1,26,16
"请回答下面查询。
对象：《百年孤独》
属性：作者
答案：",0,28,18
"请回答下面查询。
对象：能量
属性：出生国家
答案：",1,26,16
"请回答下面查询。
对象：恒河
属性：化学符号
答案：",1,26,17
"请回答下面查询。
对象：碳酸钠
属性：总部所在地
答案：",1,28,17
"请回答下面查询。
对象：乙醇
属性：化学式
答案：",0,25,17
