entity,count,nunique
BASIC,2,2
C#,2,2
C++,2,2
C语言,2,2
Dart,2,2
Erlang,2,2
Fortran,2,2
Go,2,2
Haskell,2,2
Java,2,2
JavaScript,2,2
Julia,2,2
Kotlin,2,2
Lisp,2,2
Lua,2,2
MATLAB,2,2
Objective-C,2,2
PHP,2,2
Pascal,2,2
Perl,2,2
Prolog,2,2
Python,2,2
Ruby,2,2
Rust,2,2
R语言,2,2
Scala,2,2
Smalltalk,2,2
Swift,2,2
TypeScript,2,2
Visual Basic,2,2
《一九八四》,2,2
《三国演义》,2,2
《傲慢与偏见》,2,2
《变形记》,2,2
《呐喊》,2,2
《呼啸山庄》,2,2
《哈姆雷特》,2,2
《围城》,2,2
《复活》,2,2
《子夜》,2,2
《家》,2,2
《小王子》,2,2
《局外人》,2,2
《平凡的世界》,2,2
《悲惨世界》,2,2
《战争与和平》,2,2
《朝花夕拾》,2,2
《水浒传》,2,2
《活着》,2,2
《浮士德》,2,2
《百年孤独》,2,2
《神曲》,2,2
《童年》,2,2
《红楼梦》,2,2
《老人与海》,2,2
《茶馆》,2,2
《西游记》,2,2
《边城》,2,2
《雷雨》,2,2
《骆驼祥子》,2,2
一氧化碳,2,2
世界卫生组织,2,2
世界气象组织,2,2
世界知识产权组织,2,2
世界自然基金会,2,2
世界贸易组织,2,2
世界银行,2,2
丘吉尔,2,2
东盟,2,2
乔戈里峰,2,2
乙酸,2,2
乙醇,2,2
乞力马扎罗山,2,2
二氧化硅,2,2
二氧化硫,2,2
二氧化碳,2,2
五台山,2,2
亚洲开发银行,2,2
亚里士多德,2,2
亚马孙河,2,2
伏尔加河,2,2
伽利略,2,2
体积,2,2
俄罗斯,2,2
光强,2,2
刚果河,2,2
力,2,2
功,2,2
功率,2,2
加拿大,2,2
加速度,2,2
动量,2,2
勃朗峰,2,2
勒拿河,2,2
北约,2,2
华山,2,2
华盛顿,2,2
卓奥友峰,2,2
南迦帕尔巴特峰,2,2
南非,2,2
印度,2,2
印度河,2,2
厄尔布鲁士山,2,2
压强,2,2
叶尼塞河,2,2
哥白尼,2,2
唐古拉山主峰,2,2
喀喇昆仑山主峰,2,2
国际刑警组织,2,2
国际劳工组织,2,2
国际原子能机构,2,2
国际奥委会,2,2
