id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv3_0000,请回答：Smalltalk的主要设计者是什么？,0,known_controlled_v3,programming_language,Smalltalk,主要设计者,23,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0001,请回答：唐古拉山主峰的主要设计者是什么？,1,unknown_controlled_v3,mountain,唐古拉山主峰,主要设计者,20,14,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0002,请回答：电流的国际单位是什么？,0,known_controlled_v3,physical_quantity,电流,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0003,请回答：功率的国际单位是什么？,0,known_controlled_v3,physical_quantity,功率,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0004,请回答：氧的主要流经大洲是什么？,1,unknown_controlled_v3,element,氧,主要流经大洲,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0005,请回答：放射性活度的出生国家是什么？,1,unknown_controlled_v3,physical_quantity,放射性活度,出生国家,18,12,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0006,请回答：甲烷的化学式是什么？,0,known_controlled_v3,chemical_compound,甲烷,化学式,14,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0007,请回答：联合国儿童基金会的总部所在地是什么？,0,known_controlled_v3,organization,联合国儿童基金会,总部所在地,22,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0008,请回答：体积的国际单位是什么？,0,known_controlled_v3,physical_quantity,体积,国际单位,15,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0009,请回答：氯的化学符号是什么？,0,known_controlled_v3,element,氯,化学符号,14,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0010,请回答：《变形记》的作者是什么？,0,known_controlled_v3,book,《变形记》,作者,16,11,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0011,请回答：印度河的化学符号是什么？,1,unknown_controlled_v3,river,印度河,化学符号,16,10,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0012,请回答：干城章嘉峰的主要设计者是什么？,1,unknown_controlled_v3,mountain,干城章嘉峰,主要设计者,19,13,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0013,请回答：Python的主要设计者是什么？,0,known_controlled_v3,programming_language,Python,主要设计者,20,9,Qwen/Qwen2.5-0.5B-Instruct
ctrlv3_0014,请回答：世界自然基金会的化学式是什么？,1,unknown_controlled_v3,organization,世界自然基金会,化学式,19,11,Qwen/Qwen2.5-0.5B-Instruct
