feature,coef,direction
亚的,0.867065423909151,towards_unknown_label_1
亚的首,0.867065423909151,towards_unknown_label_1
亚的首都,0.867065423909151,towards_unknown_label_1
亚的首都是,0.867065423909151,towards_unknown_label_1
：维,0.4519344930126219,towards_unknown_label_1
回答：维,0.4519344930126219,towards_unknown_label_1
请回答：维,0.4519344930126219,towards_unknown_label_1
答：维,0.4519344930126219,towards_unknown_label_1
答：卡,0.44862762890778424,towards_unknown_label_1
：卡,0.44862762890778424,towards_unknown_label_1
回答：卡,0.44862762890778424,towards_unknown_label_1
请回答：卡,0.44862762890778424,towards_unknown_label_1
请回答：米,0.44606234538831746,towards_unknown_label_1
：米,0.44606234538831746,towards_unknown_label_1
回答：米,0.44606234538831746,towards_unknown_label_1
答：米,0.44606234538831746,towards_unknown_label_1
尼亚的首都,0.4453311706034047,towards_unknown_label_1
尼亚的首,0.4453311706034047,towards_unknown_label_1
尼亚,0.4453311706034047,towards_unknown_label_1
尼亚的,0.4453311706034047,towards_unknown_label_1
回答：索,0.42402433678730006,towards_unknown_label_1
答：索,0.42402433678730006,towards_unknown_label_1
请回答：索,0.42402433678730006,towards_unknown_label_1
：索,0.42402433678730006,towards_unknown_label_1
：兰,0.41761235876738584,towards_unknown_label_1
回答：兰,0.41761235876738584,towards_unknown_label_1
答：兰,0.41761235876738584,towards_unknown_label_1
请回答：兰,0.41761235876738584,towards_unknown_label_1
请回答：利,0.4127698078484,towards_unknown_label_1
回答：利,0.4127698078484,towards_unknown_label_1
答：利,0.4127698078484,towards_unknown_label_1
：利,0.4127698078484,towards_unknown_label_1
答：帕,0.41239328885584614,towards_unknown_label_1
回答：帕,0.41239328885584614,towards_unknown_label_1
：帕,0.41239328885584614,towards_unknown_label_1
请回答：帕,0.41239328885584614,towards_unknown_label_1
答：塔,0.41066251326295194,towards_unknown_label_1
：塔,0.41066251326295194,towards_unknown_label_1
请回答：塔,0.41066251326295194,towards_unknown_label_1
回答：塔,0.41066251326295194,towards_unknown_label_1
请回答：国,-0.39345172961225416,towards_known_label_0
：国际,-0.39345172961225416,towards_known_label_0
：国,-0.39345172961225416,towards_known_label_0
答：国,-0.39345172961225416,towards_known_label_0
回答：国际,-0.39345172961225416,towards_known_label_0
答：国际,-0.39345172961225416,towards_known_label_0
回答：国,-0.39345172961225416,towards_known_label_0
答：电,-0.374201027601121,towards_known_label_0
：电,-0.374201027601121,towards_known_label_0
请回答：电,-0.374201027601121,towards_known_label_0
回答：电,-0.374201027601121,towards_known_label_0
氧化,-0.3212336108538792,towards_known_label_0
气的,-0.3144248335985755,towards_known_label_0
气的化,-0.3144248335985755,towards_known_label_0
气的化学式,-0.3144248335985755,towards_known_label_0
气的化学,-0.3144248335985755,towards_known_label_0
国的,-0.2951394160637706,towards_known_label_0
世界,-0.29110600116328356,towards_known_label_0
国际,-0.26349631173041654,towards_known_label_0
答：氯,-0.2554815482904959,towards_known_label_0
：氯,-0.2554815482904959,towards_known_label_0
回答：氯,-0.2554815482904959,towards_known_label_0
请回答：氯,-0.2554815482904959,towards_known_label_0
国的首都是,-0.2438396757064792,towards_known_label_0
国的首,-0.2438396757064792,towards_known_label_0
国的首都,-0.2438396757064792,towards_known_label_0
钠的化学,-0.24313407765826414,towards_known_label_0
钠的化,-0.24313407765826414,towards_known_label_0
钠的,-0.24313407765826414,towards_known_label_0
：世界,-0.24152523107546894,towards_known_label_0
答：世界,-0.24152523107546894,towards_known_label_0
：世,-0.24152523107546894,towards_known_label_0
回答：世界,-0.24152523107546894,towards_known_label_0
回答：世,-0.24152523107546894,towards_known_label_0
答：世,-0.24152523107546894,towards_known_label_0
请回答：世,-0.24152523107546894,towards_known_label_0
：硫,-0.2178342818203902,towards_known_label_0
请回答：硫,-0.2178342818203902,towards_known_label_0
答：硫,-0.2178342818203902,towards_known_label_0
回答：硫,-0.2178342818203902,towards_known_label_0
