id,trace_id,prompt,step_prefix_text,label,label_name,version,problem,step_index,num_steps,error_step_index,error_type,correct_answer,corrupted_answer
pe_v2_0000_correct_step1,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。",0,step_correct,paired_step_v2,计算 18 + 28 + 11。,1,3,-1,none,57,
pe_v2_0000_incorrect_step1,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 47。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 47。",1,step_incorrect,paired_step_v2,计算 18 + 28 + 11。,1,3,-1,first_addition_error,57,
pe_v2_0000_correct_step2,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。",0,step_correct,paired_step_v2,计算 18 + 28 + 11。,2,3,-1,none,57,
pe_v2_0000_incorrect_step2,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 55。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 55。",1,step_incorrect,paired_step_v2,计算 18 + 28 + 11。,2,3,-1,final_addition_error,57,
pe_v2_0000_correct_step3,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：57。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：57。",0,step_correct,paired_step_v2,计算 18 + 28 + 11。,3,3,-1,none,57,
pe_v2_0000_incorrect_step3,pe_v2_0000,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：52。","题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：52。",1,step_incorrect,paired_step_v2,计算 18 + 28 + 11。,3,3,-1,wrong_final_answer,57,
pe_v2_0001_correct_step1,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。",0,step_correct,paired_step_v2,计算 4 × 10 + 39。,1,3,-1,none,79,
pe_v2_0001_incorrect_step1,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 43。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 43。",1,step_incorrect,paired_step_v2,计算 4 × 10 + 39。,1,3,-1,multiplication_error,79,
pe_v2_0001_correct_step2,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。",0,step_correct,paired_step_v2,计算 4 × 10 + 39。,2,3,-1,none,79,
pe_v2_0001_incorrect_step2,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 76。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 76。",1,step_incorrect,paired_step_v2,计算 4 × 10 + 39。,2,3,-1,addition_after_multiplication_error,79,
pe_v2_0001_correct_step3,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：79。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：79。",0,step_correct,paired_step_v2,计算 4 × 10 + 39。,3,3,-1,none,79,
pe_v2_0001_incorrect_step3,pe_v2_0001,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：75。","题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：75。",1,step_incorrect,paired_step_v2,计算 4 × 10 + 39。,3,3,-1,wrong_final_answer,79,
pe_v2_0002_correct_step1,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。",0,step_correct,paired_step_v2,计算 (6 + 9) × 4。,1,3,-1,none,60,
pe_v2_0002_incorrect_step1,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 14。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 14。",1,step_incorrect,paired_step_v2,计算 (6 + 9) × 4。,1,3,-1,parentheses_addition_error,60,
pe_v2_0002_correct_step2,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。",0,step_correct,paired_step_v2,计算 (6 + 9) × 4。,2,3,-1,none,60,
pe_v2_0002_incorrect_step2,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 65。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 65。",1,step_incorrect,paired_step_v2,计算 (6 + 9) × 4。,2,3,-1,multiplication_after_parentheses_error,60,
pe_v2_0002_correct_step3,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。
答案：60。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。
答案：60。",0,step_correct,paired_step_v2,计算 (6 + 9) × 4。,3,3,-1,none,60,
pe_v2_0002_incorrect_step3,pe_v2_0002,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。
答案：55。","题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。
答案：55。",1,step_incorrect,paired_step_v2,计算 (6 + 9) × 4。,3,3,-1,wrong_final_answer,60,
pe_v2_0003_correct_step1,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。",0,step_correct,paired_step_v2,解方程 5x + 13 = 133。,1,3,-1,none,24,
pe_v2_0003_incorrect_step1,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 116。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 116。",1,step_incorrect,paired_step_v2,解方程 5x + 13 = 133。,1,3,-1,subtraction_error,24,
pe_v2_0003_correct_step2,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。",0,step_correct,paired_step_v2,解方程 5x + 13 = 133。,2,3,-1,none,24,
pe_v2_0003_incorrect_step2,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 26。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 26。",1,step_incorrect,paired_step_v2,解方程 5x + 13 = 133。,2,3,-1,division_error,24,
pe_v2_0003_correct_step3,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。
答案：x = 24。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。
答案：x = 24。",0,step_correct,paired_step_v2,解方程 5x + 13 = 133。,3,3,-1,none,24,
pe_v2_0003_incorrect_step3,pe_v2_0003,"题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。
答案：x = 21。","题目：解方程 5x + 13 = 133。
步骤1：两边减去 13，得到 5x = 120。
步骤2：两边除以 5，得到 x = 24。
答案：x = 21。",1,step_incorrect,paired_step_v2,解方程 5x + 13 = 133。,3,3,-1,wrong_final_answer,24,
pe_v2_0004_correct_step1,pe_v2_0004,"题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 75。","题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 75。",0,step_correct,paired_step_v2,计算 60 + 15 + 6。,1,3,-1,none,81,
pe_v2_0004_incorrect_step1,pe_v2_0004,"题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 74。","题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 74。",1,step_incorrect,paired_step_v2,计算 60 + 15 + 6。,1,3,-1,first_addition_error,81,
pe_v2_0004_correct_step2,pe_v2_0004,"题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 75。
步骤2：再计算 75 + 6 = 81。","题目：计算 60 + 15 + 6。
步骤1：先计算 60 + 15 = 75。
步骤2：再计算 75 + 6 = 81。",0,step_correct,paired_step_v2,计算 60 + 15 + 6。,2,3,-1,none,81,
