id,entity,relation,category,pk_answer,ck_answer,context,question,prompt,conflict_type,prompt_style,prompt_language,expected_later_labels
pkck_0000,巴西,所在大洲,country_continent,南美洲,北美洲,材料中写道：巴西的所在大洲是北美洲。,巴西的所在大洲是什么？,"背景：材料中写道：巴西的所在大洲是北美洲。
问题：巴西的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0001,加拿大,所在大洲,country_continent,北美洲,亚洲,材料中写道：加拿大的所在大洲是亚洲。,加拿大的所在大洲是什么？,"背景：材料中写道：加拿大的所在大洲是亚洲。
问题：加拿大的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0002,埃及,所在大洲,country_continent,非洲,亚洲,材料中写道：埃及的所在大洲是亚洲。,埃及的所在大洲是什么？,"背景：材料中写道：埃及的所在大洲是亚洲。
问题：埃及的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0003,日本,所在大洲,country_continent,亚洲,欧洲,材料中写道：日本的所在大洲是欧洲。,日本的所在大洲是什么？,"背景：材料中写道：日本的所在大洲是欧洲。
问题：日本的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0004,德国,所在大洲,country_continent,欧洲,亚洲,材料中写道：德国的所在大洲是亚洲。,德国的所在大洲是什么？,"背景：材料中写道：德国的所在大洲是亚洲。
问题：德国的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0005,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"背景：材料中写道：澳大利亚的所在大洲是非洲。
问题：澳大利亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0006,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"背景：材料中写道：肯尼亚的所在大洲是南美洲。
问题：肯尼亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0007,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"背景：材料中写道：阿根廷的所在大洲是欧洲。
问题：阿根廷的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0008,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"背景：材料中写道：墨西哥的所在大洲是亚洲。
问题：墨西哥的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0009,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"背景：材料中写道：印度的所在大洲是非洲。
问题：印度的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0010,法国,所在大洲,country_continent,欧洲,南美洲,材料中写道：法国的所在大洲是南美洲。,法国的所在大洲是什么？,"背景：材料中写道：法国的所在大洲是南美洲。
问题：法国的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0011,韩国,所在大洲,country_continent,亚洲,欧洲,材料中写道：韩国的所在大洲是欧洲。,韩国的所在大洲是什么？,"背景：材料中写道：韩国的所在大洲是欧洲。
问题：韩国的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0012,尼日利亚,所在大洲,country_continent,非洲,欧洲,材料中写道：尼日利亚的所在大洲是欧洲。,尼日利亚的所在大洲是什么？,"背景：材料中写道：尼日利亚的所在大洲是欧洲。
问题：尼日利亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0013,秘鲁,所在大洲,country_continent,南美洲,北美洲,材料中写道：秘鲁的所在大洲是北美洲。,秘鲁的所在大洲是什么？,"背景：材料中写道：秘鲁的所在大洲是北美洲。
问题：秘鲁的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0014,西班牙,所在大洲,country_continent,欧洲,北美洲,材料中写道：西班牙的所在大洲是北美洲。,西班牙的所在大洲是什么？,"背景：材料中写道：西班牙的所在大洲是北美洲。
问题：西班牙的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0015,泰国,所在大洲,country_continent,亚洲,非洲,材料中写道：泰国的所在大洲是非洲。,泰国的所在大洲是什么？,"背景：材料中写道：泰国的所在大洲是非洲。
问题：泰国的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0016,摩洛哥,所在大洲,country_continent,非洲,亚洲,材料中写道：摩洛哥的所在大洲是亚洲。,摩洛哥的所在大洲是什么？,"背景：材料中写道：摩洛哥的所在大洲是亚洲。
问题：摩洛哥的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0017,智利,所在大洲,country_continent,南美洲,欧洲,材料中写道：智利的所在大洲是欧洲。,智利的所在大洲是什么？,"背景：材料中写道：智利的所在大洲是欧洲。
问题：智利的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0018,越南,所在大洲,country_continent,亚洲,大洋洲,材料中写道：越南的所在大洲是大洋洲。,越南的所在大洲是什么？,"背景：材料中写道：越南的所在大洲是大洋洲。
问题：越南的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0019,瑞典,所在大洲,country_continent,欧洲,非洲,材料中写道：瑞典的所在大洲是非洲。,瑞典的所在大洲是什么？,"背景：材料中写道：瑞典的所在大洲是非洲。
问题：瑞典的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0020,法国,首都,country_capital,巴黎,巴西利亚,材料中写道：法国的首都是巴西利亚。,法国的首都是什么？,"背景：材料中写道：法国的首都是巴西利亚。
问题：法国的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0021,日本,首都,country_capital,东京,布宜诺斯艾利斯,材料中写道：日本的首都是布宜诺斯艾利斯。,日本的首都是什么？,"背景：材料中写道：日本的首都是布宜诺斯艾利斯。
问题：日本的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0022,加拿大,首都,country_capital,渥太华,开罗,材料中写道：加拿大的首都是开罗。,加拿大的首都是什么？,"背景：材料中写道：加拿大的首都是开罗。
问题：加拿大的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0023,澳大利亚,首都,country_capital,堪培拉,内罗毕,材料中写道：澳大利亚的首都是内罗毕。,澳大利亚的首都是什么？,"背景：材料中写道：澳大利亚的首都是内罗毕。
问题：澳大利亚的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0024,德国,首都,country_capital,柏林,新德里,材料中写道：德国的首都是新德里。,德国的首都是什么？,"背景：材料中写道：德国的首都是新德里。
问题：德国的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0025,意大利,首都,country_capital,罗马,墨西哥城,材料中写道：意大利的首都是墨西哥城。,意大利的首都是什么？,"背景：材料中写道：意大利的首都是墨西哥城。
问题：意大利的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0026,西班牙,首都,country_capital,马德里,曼谷,材料中写道：西班牙的首都是曼谷。,西班牙的首都是什么？,"背景：材料中写道：西班牙的首都是曼谷。
问题：西班牙的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0027,巴西,首都,country_capital,巴西利亚,圣地亚哥,材料中写道：巴西的首都是圣地亚哥。,巴西的首都是什么？,"背景：材料中写道：巴西的首都是圣地亚哥。
问题：巴西的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0028,阿根廷,首都,country_capital,布宜诺斯艾利斯,斯德哥尔摩,材料中写道：阿根廷的首都是斯德哥尔摩。,阿根廷的首都是什么？,"背景：材料中写道：阿根廷的首都是斯德哥尔摩。
问题：阿根廷的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0029,埃及,首都,country_capital,开罗,奥斯陆,材料中写道：埃及的首都是奥斯陆。,埃及的首都是什么？,"背景：材料中写道：埃及的首都是奥斯陆。
问题：埃及的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0030,肯尼亚,首都,country_capital,内罗毕,雅典,材料中写道：肯尼亚的首都是雅典。,肯尼亚的首都是什么？,"背景：材料中写道：肯尼亚的首都是雅典。
问题：肯尼亚的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0031,印度,首都,country_capital,新德里,里斯本,材料中写道：印度的首都是里斯本。,印度的首都是什么？,"背景：材料中写道：印度的首都是里斯本。
问题：印度的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
pkck_0032,墨西哥,首都,country_capital,墨西哥城,首尔,材料中写道：墨西哥的首都是首尔。,墨西哥的首都是什么？,"背景：材料中写道：墨西哥的首都是首尔。
问题：墨西哥的首都是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant
