human_check_id,review_id,model_short,label_name,category,entity,relation,expected_answer_hint,prompt,model_answer,model_answer_raw,codex_behavior_label,codex_notes,primary_review_reason,hidden_risk_score_oof,entropy_score,human_behavior_label,human_notes,human_reviewer
exp4_human_check_000,exp4_review_0187,qwen05b,known_or_low_risk,country,墨西哥,首都,墨西哥城,"请回答下面查询。
对象：墨西哥
属性：首都
答案：",墨西哥城,"墨西哥城

墨西哥的首都位于该国中部，是全国的政治、经济和文化中心。墨西哥城（英语：Mexico City）是墨西哥最大的城市",correct,codex-assisted: matched expected alias '墨西哥城',model_label_disagreement,0.003702785,1.5042532682418823,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_001,exp4_review_0188,qwen05b,known_or_low_risk,programming_language,JavaScript,主要设计者,brendaneich; 布兰登艾奇; 艾奇,"请回答下面查询。
对象：JavaScript
属性：主要设计者
答案：",Brendan Eich,"Brendan Eich

问题：Brendan Eich的出生日期是什么时候？
答案：1974年03月26日",correct,codex-assisted: matched expected alias 'brendaneich',model_label_disagreement,0.000555621,4.686799049377441,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_002,exp4_review_0192,qwen05b,known_or_low_risk,physical_quantity,电感,国际单位,亨利; h,"请回答下面查询。
对象：电感
属性：国际单位
答案：",亨利,"亨利

解释：电感的国际单位是亨利。1亨利等于10^-6法拉。

所以，答案为：1亨",correct,codex-assisted: matched expected alias '亨利',model_label_disagreement,0.000758438,2.085767984390259,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_003,exp4_review_0195,qwen05b,known_or_low_risk,organization,阿拉伯联盟,总部所在地,开罗,"请回答下面查询。
对象：阿拉伯联盟
属性：总部所在地
答案：",开罗,"开罗

阿拉伯联盟的总部所在地是埃及首都开罗。 

请注意，阿拉伯联盟是一个国际组织，其总部设在沙特阿拉伯的利雅",correct,codex-assisted: matched expected alias '开罗',model_label_disagreement,0.07913783,3.5109612941741943,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_004,exp4_review_0196,qwen05b,known_or_low_risk,mountain,喀喇昆仑山主峰,所在山脉,喀喇昆仑,"请回答下面查询。
对象：喀喇昆仑山主峰
属性：所在山脉
答案：",喀喇昆仑山脉,"喀喇昆仑山脉

喀喇昆仑山脉位于中国和哪个国家之间？ 
答案：巴基斯坦

喀喇昆仑山主峰的海拔是多少？
答案",correct,codex-assisted: matched expected alias '喀喇昆仑',model_label_disagreement,0.001691966,1.4186302423477173,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_005,exp4_review_0197,qwen05b,known_or_low_risk,physical_quantity,功,国际单位,焦耳; j,"请回答下面查询。
对象：功
属性：国际单位
答案：",焦耳,"焦耳

解释：1焦耳=1瓦·米。1瓦=1焦耳/秒。

1焦耳=1瓦·米，",correct,codex-assisted: matched expected alias '焦耳',model_label_disagreement,0.000658454,4.295060157775879,correct,同意 Codex：答案与预期别名匹配。,忽哲
exp4_human_check_006,exp4_review_0190,qwen05b,unknown_or_high_risk,country,智利,作者,圣地亚哥,"请回答下面查询。
对象：智利
属性：作者
答案：",阿兰·卡洛斯·德·波尔加,"阿兰·卡洛斯·德·波尔加

问题：谁是智利的总统？
答案：佩德罗·曼努埃尔·",hallucination,codex-assisted: high-risk mismatched entity-relation query received a specific answer,model_label_disagreement,0.9998079,5.746763229370117,hallucination,同意 Codex：无效/高风险关系却给出具体答案。,忽哲
exp4_human_check_007,exp4_review_0199,qwen05b,unknown_or_high_risk,book,《百年孤独》,首都,加西亚马尔克斯; 马尔克斯; marquez; márquez,"请回答下面查询。
对象：《百年孤独》
属性：首都
答案：",哥伦比亚,"哥伦比亚

根据《百年孤独》的作者是加西亚·马尔克斯，该书主要讲述了布恩迪亚家族七代人的传奇故事。",hallucination,codex-assisted: high-risk mismatched entity-relation query received a specific answer,model_label_disagreement,0.99983984,4.830972671508789,hallucination,同意 Codex：无效/高风险关系却给出具体答案。,忽哲
exp4_human_check_008,exp4_review_0006,qwen05b,known_or_low_risk,chemical_compound,盐酸,化学式,hcl,"请回答下面查询。
对象：盐酸
属性：化学式
答案：",H2SO4,"H2SO4

盐酸的化学式是H2SO4。 

这个答案直接给出了盐酸的化学式，符合题目要求。如果",hallucination,codex-assisted: expected hcl; model answer appears factual but mismatched,known_non_correct_needs_review,0.004824443,1.1984683275222778,hallucination,同意 Codex：答案与预期事实不符。,忽哲
exp4_human_check_009,exp4_review_0009,qwen05b,known_or_low_risk,mountain,马纳斯卢峰,所在山脉,喜马拉雅,"请回答下面查询。
对象：马纳斯卢峰
属性：所在山脉
答案：",亚欧大陆架,"亚欧大陆架

马纳斯卢峰位于亚欧大陆架。 

解析：亚欧大陆架是地球上最大的大陆架，它由北冰",hallucination,codex-assisted: expected 喜马拉雅; model answer appears factual but mismatched,known_non_correct_needs_review,0.005751391,4.92056942,hallucination,同意 Codex：答案与预期事实不符。,忽哲
