human_check_id,review_id,model_short,label_name,category,entity,relation,expected_answer_hint,prompt,model_answer,model_answer_raw,codex_behavior_label,codex_notes,primary_review_reason,hidden_risk_score_oof,entropy_score,human_behavior_label,human_notes,human_reviewer
exp4_human_check_r2_000,exp4_review_0189,qwen05b,known_or_low_risk,physical_quantity,面积,国际单位,平方米; m2,"请回答下面查询。
对象：面积
属性：国际单位
答案：",平方米,"平方米

解释：1平方米=10000平方厘米，1平方厘米=1000000平方毫米，100",correct,codex-assisted: matched expected alias '平方米',model_label_disagreement,1.6240816e-06,2.1757378578186035,correct,答案命中预期答案或常见别名。,忽哲
exp4_human_check_r2_001,exp4_review_0191,qwen05b,known_or_low_risk,physical_quantity,角速度,国际单位,弧度每秒; rad/s,"请回答下面查询。
对象：角速度
属性：国际单位
答案：",rad/s,"rad/s

解释：角速度的国际单位是rad/s。角速度是指物体绕某轴旋转的速度，通常用弧度/秒来表示",correct,codex-assisted: matched expected alias 'rad/s',model_label_disagreement,1.7479739e-06,3.0749504566192627,correct,答案命中预期答案或常见别名。,忽哲
exp4_human_check_r2_002,exp4_review_0193,qwen05b,known_or_low_risk,physical_quantity,电容,国际单位,法拉; f,"请回答下面查询。
对象：电容
属性：国际单位
答案：",法拉,"法拉

电容的国际单位是法拉。 

答案：法拉。 

解释：电容是一个物理量，其国际单位是法",correct,codex-assisted: matched expected alias '法拉',model_label_disagreement,7.027907e-05,1.5391746759414673,correct,答案命中预期答案或常见别名。,忽哲
exp4_human_check_r2_003,exp4_review_0194,qwen05b,known_or_low_risk,physical_quantity,磁通量,国际单位,韦伯; wb,"请回答下面查询。
对象：磁通量
属性：国际单位
答案：",韦伯,"韦伯

解释：1韦伯=1025.096安培·米。

解析：磁通量的国际单位是韦",correct,codex-assisted: matched expected alias '韦伯',model_label_disagreement,2.9050435e-07,2.290588617324829,correct,答案命中预期答案或常见别名。,忽哲
exp4_human_check_r2_004,exp4_review_0198,qwen05b,known_or_low_risk,river,泰晤士河,主要流经大洲,欧洲,"请回答下面查询。
对象：泰晤士河
属性：主要流经大洲
答案：",欧洲,"欧洲

泰晤士河是英国的河流，它主要流经的大洲是欧洲。泰晤士河是英国的一条重要河流，全长",correct,codex-assisted: matched expected alias '欧洲',model_label_disagreement,4.8301474e-05,0.938207507133484,correct,答案命中预期答案或常见别名。,忽哲
exp4_human_check_r2_005,exp4_review_0000,qwen05b,known_or_low_risk,programming_language,Smalltalk,主要设计者,alankay; daningalls; adelegoldberg; 艾伦凯,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",Alan Turing,"Alan Turing

小天才，你对这个查询有什么问题吗？比如“小天才”是哪个领域的专家呢？

小天才，你对这个查询",hallucination,codex-assisted: expected alankay; daningalls; adelegoldberg; 艾伦凯; model answer appears factual but mismatched,known_non_correct_needs_review,0.0005151967,6.016172409057617,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_006,exp4_review_0001,qwen05b,known_or_low_risk,book,《变形记》,作者,卡夫卡; kafka,"请回答下面查询。
对象：《变形记》
属性：作者
答案：",弗兰克·德拉邦特,"弗兰克·德拉邦特

问题：谁是《变形记》的作者？
答案：弗兰克·德拉邦特

请回答上面",hallucination,codex-assisted: expected 卡夫卡; kafka; model answer appears factual but mismatched,known_non_correct_needs_review,0.0014254424,4.929145336151123,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_007,exp4_review_0002,qwen05b,known_or_low_risk,programming_language,Python,主要设计者,guidovanrossum; 吉多范罗苏姆; 范罗苏姆,"请回答下面查询。
对象：Python
属性：主要设计者
答案：",杨利伟,"杨利伟

解释：杨利伟是第一位进入太空的中国航天员，也是首位进入太空的中国人。他于1967年",hallucination,codex-assisted: expected guidovanrossum; 吉多范罗苏姆; 范罗苏姆; model answer appears factual but mismatched,known_non_correct_needs_review,0.00059890986,4.877869606018066,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_008,exp4_review_0003,qwen05b,known_or_low_risk,organization,联合国教科文组织,总部所在地,巴黎,"请回答下面查询。
对象：联合国教科文组织
属性：总部所在地
答案：",纽约,"纽约

查询结果：

联合国教科文组织的总部位于美国纽约。 

答案：美国纽约。 

查询结果：美国纽约。

答案：美国",hallucination,codex-assisted: expected 巴黎; model answer appears factual but mismatched,known_non_correct_needs_review,0.00026240392,3.134119272232056,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_009,exp4_review_0004,qwen05b,known_or_low_risk,river,勒拿河,主要流经大洲,亚洲,"请回答下面查询。
对象：勒拿河
属性：主要流经大洲
答案：",非洲,"非洲

问题：中国哪个省份的面积最大？
答案：山东省

问题：中国哪个省份的面积最大？
答案：山东省

问题：中国哪个",hallucination,codex-assisted: expected 亚洲; model answer appears factual but mismatched,known_non_correct_needs_review,0.00063177344,1.300434708595276,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_010,exp4_review_0005,qwen05b,known_or_low_risk,organization,国际标准化组织,总部所在地,日内瓦,"请回答下面查询。
对象：国际标准化组织
属性：总部所在地
答案：",美国,"美国

查询结果：

国际标准化组织的总部所在地是美国。 

答案：美国

查询结果：

国际标准化组织的总部所在地是美国。

答案",hallucination,codex-assisted: expected 日内瓦; model answer appears factual but mismatched,known_non_correct_needs_review,0.003786398,2.4391419887542725,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_011,exp4_review_0007,qwen05b,known_or_low_risk,chemical_compound,乙醇,化学式,c2h5oh; c2h6o,"请回答下面查询。
对象：乙醇
属性：化学式
答案：",C6H12O6,"C6H12O6

乙醇的化学式是碳（C）和氢（H）的化合物，其化学式为C6",hallucination,codex-assisted: expected c2h5oh; c2h6o; model answer appears factual but mismatched,known_non_correct_needs_review,0.00014326836,0.2335201650857925,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_012,exp4_review_0008,qwen05b,known_or_low_risk,organization,世界银行,总部所在地,华盛顿,"请回答下面查询。
对象：世界银行
属性：总部所在地
答案：",伦敦,"伦敦

查询结果：世界银行的总部所在地是英国伦敦。 

这个查询直接从世界银行的信息中获取到其总部所在地，即英国伦敦",hallucination,codex-assisted: expected 华盛顿; model answer appears factual but mismatched,known_non_correct_needs_review,0.001014435,2.949574708938598,hallucination,答案与预期不符，且给出了具体错误事实。,忽哲
exp4_human_check_r2_013,exp4_review_0012,qwen05b,known_or_low_risk,organization,世界卫生组织,总部所在地,日内瓦,"请回答下面查询。
对象：世界卫生组织
属性：总部所在地
答案：",瑞士,"瑞士

世界卫生组织的总部位于瑞士日内瓦。该机构成立于1863年，由当时在巴黎大学工作的法国医生让-巴",hallucination,codex-assisted: expected 日内瓦; model answer appears factual but mismatched,known_non_correct_needs_review,0.0014681384,2.3682680130004883,correct,不同意 Codex：原始回答包含“瑞士日内瓦”，核心地点命中预期“日内瓦”。,忽哲
