id,prompt,label,type,category,entity,relation,char_len,token_len,token_len_source
ctrlv4_0000,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Smalltalk,主要设计者,34,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0001,"请回答下面查询。
对象：唐古拉山主峰
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,唐古拉山主峰,主要设计者,31,22,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0002,"请回答下面查询。
对象：电流
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,电流,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0003,"请回答下面查询。
对象：功率
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,功率,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0004,"请回答下面查询。
对象：氧
属性：主要流经大洲
答案：",1,unknown_controlled_v4,element,氧,主要流经大洲,27,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0005,"请回答下面查询。
对象：放射性活度
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,放射性活度,出生国家,29,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0006,"请回答下面查询。
对象：甲烷
属性：化学式
答案：",0,known_controlled_v4,chemical_compound,甲烷,化学式,25,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0007,"请回答下面查询。
对象：联合国儿童基金会
属性：总部所在地
答案：",0,known_controlled_v4,organization,联合国儿童基金会,总部所在地,33,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0008,"请回答下面查询。
对象：体积
属性：国际单位
答案：",0,known_controlled_v4,physical_quantity,体积,国际单位,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0009,"请回答下面查询。
对象：氯
属性：化学符号
答案：",0,known_controlled_v4,element,氯,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0010,"请回答下面查询。
对象：《变形记》
属性：作者
答案：",0,known_controlled_v4,book,《变形记》,作者,27,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0011,"请回答下面查询。
对象：印度河
属性：化学符号
答案：",1,unknown_controlled_v4,river,印度河,化学符号,27,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0012,"请回答下面查询。
对象：干城章嘉峰
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,干城章嘉峰,主要设计者,30,21,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0013,"请回答下面查询。
对象：Python
属性：主要设计者
答案：",0,known_controlled_v4,programming_language,Python,主要设计者,31,17,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0014,"请回答下面查询。
对象：世界自然基金会
属性：化学式
答案：",1,unknown_controlled_v4,organization,世界自然基金会,化学式,30,18,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0015,"请回答下面查询。
对象：联合国教科文组织
属性：总部所在地
答案：",0,known_controlled_v4,organization,联合国教科文组织,总部所在地,33,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0016,"请回答下面查询。
对象：速度
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,速度,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0017,"请回答下面查询。
对象：门捷列夫
属性：出生国家
答案：",0,known_controlled_v4,person,门捷列夫,出生国家,28,19,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0018,"请回答下面查询。
对象：珠穆朗玛峰
属性：所在山脉
答案：",0,known_controlled_v4,mountain,珠穆朗玛峰,所在山脉,29,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0019,"请回答下面查询。
对象：铅
属性：化学符号
答案：",0,known_controlled_v4,element,铅,化学符号,25,16,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0020,"请回答下面查询。
对象：维苏威火山
属性：主要设计者
答案：",1,unknown_controlled_v4,mountain,维苏威火山,主要设计者,30,20,Qwen/Qwen2.5-0.5B-Instruct
ctrlv4_0021,"请回答下面查询。
对象：功率
属性：出生国家
答案：",1,unknown_controlled_v4,physical_quantity,功率,出生国家,26,16,Qwen/Qwen2.5-0.5B-Instruct
