id,prompt,label,type,category,entity,char_len,token_len
ctrl_0000,请回答：莫尔迪出生在哪个国家？,1,unknown_controlled_v2,person_country,莫尔迪,15,11
ctrl_0001,请回答：巴伦河主要流经哪个大洲？,1,unknown_controlled_v2,river_continent,巴伦河,16,13
ctrl_0002,请回答：硫酸的化学式是什么？,0,known_controlled_v2,chemical_formula,硫酸,14,9
ctrl_0003,请回答：氧气的化学式是什么？,0,known_controlled_v2,chemical_formula,氧气,14,9
ctrl_0004,请回答：依维诺出生在哪个国家？,1,unknown_controlled_v2,person_country,依维诺,15,11
ctrl_0005,请回答：贝尔文出生在哪个国家？,1,unknown_controlled_v2,person_country,贝尔文,15,10
ctrl_0006,请回答：利贝酸的化学式是什么？,1,unknown_controlled_v2,chemical_formula,利贝酸,15,11
ctrl_0007,请回答：《子夜》的作者是谁？,0,known_controlled_v2,book_author,子夜,14,11
ctrl_0008,请回答：电荷量的国际单位是什么？,0,known_controlled_v2,physical_unit,电荷量,16,11
ctrl_0009,请回答：艾能率的国际单位是什么？,1,unknown_controlled_v2,physical_unit,艾能率,16,11
ctrl_0010,请回答：格维酮的化学式是什么？,1,unknown_controlled_v2,chemical_formula,格维酮,15,11
ctrl_0011,请回答：碳的化学符号是什么？,0,known_controlled_v2,element_symbol,碳,14,9
ctrl_0012,请回答：兰西维亚的首都是哪里？,1,unknown_controlled_v2,capital,兰西维亚,15,12
ctrl_0013,请回答：阿钽的化学符号是什么？,1,unknown_controlled_v2,element_symbol,阿钽,15,10
ctrl_0014,请回答：霍镧的化学符号是什么？,1,unknown_controlled_v2,element_symbol,霍镧,15,10
ctrl_0015,请回答：国际海事组织的总部位于哪里？,0,known_controlled_v2,organization_headquarters,国际海事组织,18,12
ctrl_0016,请回答：费伦尼亚的首都是哪里？,1,unknown_controlled_v2,capital,费伦尼亚,15,11
ctrl_0017,请回答：哥白尼出生在哪个国家？,0,known_controlled_v2,person_country,哥白尼,15,11
ctrl_0018,请回答：纳洛河主要流经哪个大洲？,1,unknown_controlled_v2,river_continent,纳洛河,16,13
ctrl_0019,请回答：黄河主要流经哪个大洲？,0,known_controlled_v2,river_continent,黄河,15,11
ctrl_0020,请回答：磁感应强度的国际单位是什么？,0,known_controlled_v2,physical_unit,磁感应强度,18,11
ctrl_0021,请回答：乙酸的化学式是什么？,0,known_controlled_v2,chemical_formula,乙酸,14,10
ctrl_0022,请回答：功的国际单位是什么？,0,known_controlled_v2,physical_unit,功,14,9
ctrl_0023,请回答：卡尔文河主要流经哪个大洲？,1,unknown_controlled_v2,river_continent,卡尔文河,17,13
ctrl_0024,请回答：泰国的首都是哪里？,0,known_controlled_v2,capital,泰国,13,9
ctrl_0025,请回答：鄂毕河主要流经哪个大洲？,0,known_controlled_v2,river_continent,鄂毕河,16,13
ctrl_0026,请回答：依文盐的化学式是什么？,1,unknown_controlled_v2,chemical_formula,依文盐,15,11
ctrl_0027,请回答：加拿大的首都是哪里？,0,known_controlled_v2,capital,加拿大,14,9
ctrl_0028,请回答：世界气象组织的总部位于哪里？,0,known_controlled_v2,organization_headquarters,世界气象组织,18,11
ctrl_0029,请回答：阿拉伯联盟的总部位于哪里？,0,known_controlled_v2,organization_headquarters,阿拉伯联盟,17,10
ctrl_0030,请回答：压强的国际单位是什么？,0,known_controlled_v2,physical_unit,压强,15,10
ctrl_0031,请回答：功率的国际单位是什么？,0,known_controlled_v2,physical_unit,功率,15,9
ctrl_0032,请回答：兰伯索出生在哪个国家？,1,unknown_controlled_v2,person_country,兰伯索,15,11
ctrl_0033,请回答：居里夫人出生在哪个国家？,0,known_controlled_v2,person_country,居里夫人,16,11
ctrl_0034,请回答：恒河主要流经哪个大洲？,0,known_controlled_v2,river_continent,恒河,15,12
ctrl_0035,请回答：格林达亚的首都是哪里？,1,unknown_controlled_v2,capital,格林达亚,15,11
ctrl_0036,请回答：联合国教科文组织的总部位于哪里？,0,known_controlled_v2,organization_headquarters,联合国教科文组织,20,13
ctrl_0037,请回答：索阻的国际单位是什么？,1,unknown_controlled_v2,physical_unit,索阻,15,10
ctrl_0038,请回答：伏尔加河主要流经哪个大洲？,0,known_controlled_v2,river_continent,伏尔加河,17,14
ctrl_0039,请回答：科维安出生在哪个国家？,1,unknown_controlled_v2,person_country,科维安,15,11
ctrl_0040,请回答：费尔数据组织的总部位于哪里？,1,unknown_controlled_v2,organization_headquarters,费尔数据组织,18,12
ctrl_0041,请回答：多频量的国际单位是什么？,1,unknown_controlled_v2,physical_unit,多频量,16,11
ctrl_0042,请回答：诺维克出生在哪个国家？,1,unknown_controlled_v2,person_country,诺维克,15,11
ctrl_0043,请回答：贝森安全联盟的总部位于哪里？,1,unknown_controlled_v2,organization_headquarters,贝森安全联盟,18,12
ctrl_0044,请回答：艾森尼亚的首都是哪里？,1,unknown_controlled_v2,capital,艾森尼亚,15,11
ctrl_0045,请回答：塔铟的化学符号是什么？,1,unknown_controlled_v2,element_symbol,塔铟,15,10
ctrl_0046,请回答：塞伦塔出生在哪个国家？,1,unknown_controlled_v2,person_country,塞伦塔,15,11
ctrl_0047,请回答：依萨河主要流经哪个大洲？,1,unknown_controlled_v2,river_continent,依萨河,16,13
ctrl_0048,请回答：锌的化学符号是什么？,0,known_controlled_v2,element_symbol,锌,14,9
