id,label,label_name,category,entity,relation,prompt,hidden_score,length_score,tfidf_score,entropy_score,neg_top1_prob_score,neg_margin_score
ood_0000,0,known_or_low_risk,planet,火星,所属恒星,"请回答下面查询。
对象：火星
属性：所属恒星
答案：",0.019169942133515486,0.5,0.4814747535088,0.6320731043815613,-0.9209847450256348,-0.9112980235368012
ood_0001,1,unknown_or_high_risk,award,图灵奖,常见病原体,"请回答下面查询。
对象：图灵奖
属性：常见病原体
答案：",0.4259631398594133,0.5,0.49209453554025645,4.7015252113342285,-0.1521930247545242,-0.0270024538040161
ood_0002,1,unknown_or_high_risk,artist,毕加索,所属纲,"请回答下面查询。
对象：毕加索
属性：所属纲
答案：",0.011677688442815049,0.5,0.4814747535088,3.501760005950928,-0.2897087335586548,-0.1069917380809784
ood_0003,1,unknown_or_high_risk,award,金球奖,常见病原体,"请回答下面查询。
对象：金球奖
属性：常见病原体
答案：",0.9886840385526536,0.5,0.4957184187708407,4.97287130355835,-0.1243213340640068,-0.0495034307241439
ood_0004,1,unknown_or_high_risk,artist,伦勃朗,所属纲,"请回答下面查询。
对象：伦勃朗
属性：所属纲
答案：",0.001512681558923709,0.5,0.484704090711843,4.834273338317871,-0.2514125108718872,-0.1868444383144378
ood_0005,1,unknown_or_high_risk,software_framework,Django,所在国家,"请回答下面查询。
对象：Django
属性：所在国家
答案：",0.004964488159124018,0.5,0.49735051867994273,0.2922079861164093,-0.9631672501564026,-0.9508518306538464
ood_0006,1,unknown_or_high_risk,city,悉尼,导演,"请回答下面查询。
对象：悉尼
属性：导演
答案：",0.9975689702428469,0.5,0.4969763243085726,5.105513095855713,-0.0478817112743854,-0.0014731660485267
ood_0007,0,known_or_low_risk,city,上海,所在国家,"请回答下面查询。
对象：上海
属性：所在国家
答案：",7.325396487368165e-07,0.5,0.49366973256898367,1.038513422012329,-0.7767047882080078,-0.6824798062443733
ood_0008,0,known_or_low_risk,planet,地球,所属恒星,"请回答下面查询。
对象：地球
属性：所属恒星
答案：",0.04676040334169702,0.5,0.4814747535088,0.486877292394638,-0.9452840089797974,-0.9400447877123952
ood_0009,0,known_or_low_risk,company,特斯拉公司,创始人,"请回答下面查询。
对象：特斯拉公司
属性：创始人
答案：",0.00028392886497233206,0.5,0.4983236974459766,3.79440712928772,-0.2601800858974457,-0.1702642440795898
