review_id,model_short,model,id,label,label_name,category,entity,relation,prompt,model_answer,model_answer_raw,review_auto_label,behavior_label,auto_behavior_label,auto_behavior_notes,notes,hidden_risk_score_oof,hidden_risk_percentile,entropy_score,neg_top1_prob_score,neg_margin_score,review_priority_score,primary_review_reason,review_reasons,manual_behavior_label,manual_notes,manual_reviewer
exp4_review_0000,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0000,0,known_or_low_risk,programming_language,Smalltalk,主要设计者,"请回答下面查询。
对象：Smalltalk
属性：主要设计者
答案：",Alan Turing,"Alan Turing

小天才，你对这个查询有什么问题吗？比如“小天才”是哪个领域的专家呢？

小天才，你对这个查询",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0005151967,0.22333333333333333,6.016172409057617,-0.0292805470526218,-0.0002278629690408,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected alankay; daningalls; adelegoldberg; 艾伦凯; model answer appears factual but mismatched,codex_assisted
exp4_review_0001,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0010,0,known_or_low_risk,book,《变形记》,作者,"请回答下面查询。
对象：《变形记》
属性：作者
答案：",弗兰克·德拉邦特,"弗兰克·德拉邦特

问题：谁是《变形记》的作者？
答案：弗兰克·德拉邦特

请回答上面",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0014254424,0.32166666666666666,4.929145336151123,-0.0836586654186248,-0.0308958068490028,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 卡夫卡; kafka; model answer appears factual but mismatched,codex_assisted
exp4_review_0002,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0013,0,known_or_low_risk,programming_language,Python,主要设计者,"请回答下面查询。
对象：Python
属性：主要设计者
答案：",杨利伟,"杨利伟

解释：杨利伟是第一位进入太空的中国航天员，也是首位进入太空的中国人。他于1967年",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00059890986,0.24,4.877869606018066,-0.2730081081390381,-0.2171081304550171,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected guidovanrossum; 吉多范罗苏姆; 范罗苏姆; model answer appears factual but mismatched,codex_assisted
exp4_review_0003,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0015,0,known_or_low_risk,organization,联合国教科文组织,总部所在地,"请回答下面查询。
对象：联合国教科文组织
属性：总部所在地
答案：",纽约,"纽约

查询结果：

联合国教科文组织的总部位于美国纽约。 

答案：美国纽约。 

查询结果：美国纽约。

答案：美国",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00026240392,0.15333333333333332,3.134119272232056,-0.2459004074335098,-0.0795158594846725,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 巴黎; model answer appears factual but mismatched,codex_assisted
exp4_review_0004,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0024,0,known_or_low_risk,river,勒拿河,主要流经大洲,"请回答下面查询。
对象：勒拿河
属性：主要流经大洲
答案：",非洲,"非洲

问题：中国哪个省份的面积最大？
答案：山东省

问题：中国哪个省份的面积最大？
答案：山东省

问题：中国哪个",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00063177344,0.24666666666666667,1.300434708595276,-0.4725233614444732,-0.1102271378040313,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 亚洲; model answer appears factual but mismatched,codex_assisted
exp4_review_0005,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0028,0,known_or_low_risk,organization,国际标准化组织,总部所在地,"请回答下面查询。
对象：国际标准化组织
属性：总部所在地
答案：",美国,"美国

查询结果：

国际标准化组织的总部所在地是美国。 

答案：美国

查询结果：

国际标准化组织的总部所在地是美国。

答案",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.003786398,0.4083333333333333,2.4391419887542725,-0.3144410848617553,-0.0,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 日内瓦; model answer appears factual but mismatched,codex_assisted
exp4_review_0006,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0040,0,known_or_low_risk,chemical_compound,盐酸,化学式,"请回答下面查询。
对象：盐酸
属性：化学式
答案：",H2SO4,"H2SO4

盐酸的化学式是H2SO4。 

这个答案直接给出了盐酸的化学式，符合题目要求。如果",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0048244433,0.41333333333333333,1.1984683275222778,-0.5308244824409485,-0.1880984008312225,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected hcl; model answer appears factual but mismatched,codex_assisted
exp4_review_0007,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0046,0,known_or_low_risk,chemical_compound,乙醇,化学式,"请回答下面查询。
对象：乙醇
属性：化学式
答案：",C6H12O6,"C6H12O6

乙醇的化学式是碳（C）和氢（H）的化合物，其化学式为C6",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00014326836,0.11,0.2335201650857925,-0.963735818862915,-0.9410709235817194,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected c2h5oh; c2h6o; model answer appears factual but mismatched,codex_assisted
exp4_review_0008,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0054,0,known_or_low_risk,organization,世界银行,总部所在地,"请回答下面查询。
对象：世界银行
属性：总部所在地
答案：",伦敦,"伦敦

查询结果：世界银行的总部所在地是英国伦敦。 

这个查询直接从世界银行的信息中获取到其总部所在地，即英国伦敦",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.001014435,0.3,2.949574708938598,-0.3569185137748718,-0.2721429318189621,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 华盛顿; model answer appears factual but mismatched,codex_assisted
exp4_review_0009,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0061,0,known_or_low_risk,mountain,马纳斯卢峰,所在山脉,"请回答下面查询。
对象：马纳斯卢峰
属性：所在山脉
答案：",亚欧大陆架,"亚欧大陆架

马纳斯卢峰位于亚欧大陆架。 

解析：亚欧大陆架是地球上最大的大陆架，它由北冰",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0057513905,0.425,4.92056941986084,-0.1408070921897888,-0.0727172344923019,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 喜马拉雅; model answer appears factual but mismatched,codex_assisted
exp4_review_0010,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0062,0,known_or_low_risk,book,《浮士德》,作者,"请回答下面查询。
对象：《浮士德》
属性：作者
答案：",席勒,"席勒

《浮士德》的作者是席勒。席勒，德国浪漫主义文学家、哲学家，被誉为“现代文学之父",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,2.590825e-05,0.043333333333333335,2.6411831378936768,-0.4077314436435699,-0.1318465173244476,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 歌德; goethe; model answer appears factual but mismatched,codex_assisted
exp4_review_0011,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0063,0,known_or_low_risk,person,哥白尼,出生国家,"请回答下面查询。
对象：哥白尼
属性：出生国家
答案：",德国,"德国

哥白尼的出生地是德国。 

解析：哥白尼（1571年-1600年）是一位著名的",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,2.456939e-05,0.041666666666666664,2.4344286918640137,-0.3640954196453094,-0.219268262386322,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 波兰; model answer appears factual but mismatched,codex_assisted
exp4_review_0012,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0065,0,known_or_low_risk,organization,世界卫生组织,总部所在地,"请回答下面查询。
对象：世界卫生组织
属性：总部所在地
答案：",瑞士,"瑞士

世界卫生组织的总部位于瑞士日内瓦。该机构成立于1863年，由当时在巴黎大学工作的法国医生让-巴",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0014681384,0.33166666666666667,2.3682680130004883,-0.5386103391647339,-0.4045396149158478,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 日内瓦; model answer appears factual but mismatched,codex_assisted
exp4_review_0013,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0071,0,known_or_low_risk,mountain,阿空加瓜山,所在山脉,"请回答下面查询。
对象：阿空加瓜山
属性：所在山脉
答案：",阿西里山脉,"阿西里山脉

问题：阿空加瓜山的海拔是多少？
答案：1200米

问题：阿空加瓜山位于",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00043582596,0.19666666666666666,3.4386281967163086,-0.4877622723579407,-0.453515987843275,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 安第斯; model answer appears factual but mismatched,codex_assisted
exp4_review_0014,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0092,0,known_or_low_risk,physical_quantity,力,国际单位,"请回答下面查询。
对象：力
属性：国际单位
答案：",米,"米

解释：力的国际单位是牛顿，1牛顿等于1千克·米/秒²。所以1牛顿=1米。",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.76019627,0.5016666666666667,4.136780261993408,-0.2478375434875488,-0.1492545753717422,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 牛顿; n; model answer appears factual but mismatched,codex_assisted
exp4_review_0015,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0096,0,known_or_low_risk,organization,国际法院,总部所在地,"请回答下面查询。
对象：国际法院
属性：总部所在地
答案：",纽约,"纽约

根据《联合国宪章》规定，国际法院的总部设在哪个城市？（ ） A. 纽约 B. 巴",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.0077289254,0.435,3.171764850616455,-0.2830381691455841,-0.108663409948349,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 海牙; model answer appears factual but mismatched,codex_assisted
exp4_review_0016,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0101,0,known_or_low_risk,physical_quantity,光强,国际单位,"请回答下面查询。
对象：光强
属性：国际单位
答案：",W/m²,"W/m²

解释：1 W/m²=1000 μW/cm²。因此，1 W/m²等于1000 μ",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,1.5521097e-06,0.006666666666666667,3.2003543376922607,-0.275892049074173,-0.0435676425695419,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 坎德拉; cd; model answer appears factual but mismatched,codex_assisted
exp4_review_0017,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0109,0,known_or_low_risk,mountain,勃朗峰,所在山脉,"请回答下面查询。
对象：勃朗峰
属性：所在山脉
答案：",喜马拉雅山脉,"喜马拉雅山脉

问题：哪个山是世界最高的山？
答案：珠穆朗玛峰

问题：哪个山是世界最高的山？
答案",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,0.00010459779,0.09833333333333333,3.4229204654693604,-0.2147541940212249,-0.1266192495822906,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 阿尔卑斯; model answer appears factual but mismatched,codex_assisted
exp4_review_0018,qwen05b,Qwen2.5-0.5B-Instruct,ctrlv4_0111,0,known_or_low_risk,mountain,五台山,所在山脉,"请回答下面查询。
对象：五台山
属性：所在山脉
答案：",中国,"中国

问题：五台山的海拔是多少？
答案：5360米

问题：五台山位于哪个省份？
答案：山西省",hallucination,hallucination,answered_known_unverified,auto: known query received a specific answer; factual correctness not manually verified,known query answer did not match answer key,5.2652563e-06,0.018333333333333333,3.453596591949463,-0.3527725636959076,-0.2585640102624893,140,known_non_correct_needs_review,known_non_correct_needs_review;model_label_disagreement,hallucination,codex-assisted: expected 五台山; 太行; model answer appears factual but mismatched,codex_assisted
