id,trace_id,pair_id,version,problem,step_index,num_steps,step_text,step_prefix_text,label,label_name,error_type,correct_answer,target_definition
pe_v2_0000_correct_step1,pe_v2_0000,pe_v2_0000_step1,paired_step_v2,计算 18 + 28 + 11。,1,3,步骤1：先计算 18 + 28 = 46。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。",0,step_correct,none,57,step_correct_vs_step_incorrect
pe_v2_0000_incorrect_step1,pe_v2_0000,pe_v2_0000_step1,paired_step_v2,计算 18 + 28 + 11。,1,3,步骤1：先计算 18 + 28 = 47。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 47。",1,step_incorrect,first_addition_error,57,step_correct_vs_step_incorrect
pe_v2_0000_correct_step2,pe_v2_0000,pe_v2_0000_step2,paired_step_v2,计算 18 + 28 + 11。,2,3,步骤2：再计算 46 + 11 = 57。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。",0,step_correct,none,57,step_correct_vs_step_incorrect
pe_v2_0000_incorrect_step2,pe_v2_0000,pe_v2_0000_step2,paired_step_v2,计算 18 + 28 + 11。,2,3,步骤2：再计算 46 + 11 = 55。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 55。",1,step_incorrect,final_addition_error,57,step_correct_vs_step_incorrect
pe_v2_0000_correct_step3,pe_v2_0000,pe_v2_0000_step3,paired_step_v2,计算 18 + 28 + 11。,3,3,答案：57。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：57。",0,step_correct,none,57,step_correct_vs_step_incorrect
pe_v2_0000_incorrect_step3,pe_v2_0000,pe_v2_0000_step3,paired_step_v2,计算 18 + 28 + 11。,3,3,答案：52。,"题目：计算 18 + 28 + 11。
步骤1：先计算 18 + 28 = 46。
步骤2：再计算 46 + 11 = 57。
答案：52。",1,step_incorrect,wrong_final_answer,57,step_correct_vs_step_incorrect
pe_v2_0001_correct_step1,pe_v2_0001,pe_v2_0001_step1,paired_step_v2,计算 4 × 10 + 39。,1,3,步骤1：先计算 4 × 10 = 40。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。",0,step_correct,none,79,step_correct_vs_step_incorrect
pe_v2_0001_incorrect_step1,pe_v2_0001,pe_v2_0001_step1,paired_step_v2,计算 4 × 10 + 39。,1,3,步骤1：先计算 4 × 10 = 43。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 43。",1,step_incorrect,multiplication_error,79,step_correct_vs_step_incorrect
pe_v2_0001_correct_step2,pe_v2_0001,pe_v2_0001_step2,paired_step_v2,计算 4 × 10 + 39。,2,3,步骤2：再计算 40 + 39 = 79。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。",0,step_correct,none,79,step_correct_vs_step_incorrect
pe_v2_0001_incorrect_step2,pe_v2_0001,pe_v2_0001_step2,paired_step_v2,计算 4 × 10 + 39。,2,3,步骤2：再计算 40 + 39 = 76。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 76。",1,step_incorrect,addition_after_multiplication_error,79,step_correct_vs_step_incorrect
pe_v2_0001_correct_step3,pe_v2_0001,pe_v2_0001_step3,paired_step_v2,计算 4 × 10 + 39。,3,3,答案：79。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：79。",0,step_correct,none,79,step_correct_vs_step_incorrect
pe_v2_0001_incorrect_step3,pe_v2_0001,pe_v2_0001_step3,paired_step_v2,计算 4 × 10 + 39。,3,3,答案：75。,"题目：计算 4 × 10 + 39。
步骤1：先计算 4 × 10 = 40。
步骤2：再计算 40 + 39 = 79。
答案：75。",1,step_incorrect,wrong_final_answer,79,step_correct_vs_step_incorrect
pe_v2_0002_correct_step1,pe_v2_0002,pe_v2_0002_step1,paired_step_v2,计算 (6 + 9) × 4。,1,3,步骤1：先计算括号内 6 + 9 = 15。,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。",0,step_correct,none,60,step_correct_vs_step_incorrect
pe_v2_0002_incorrect_step1,pe_v2_0002,pe_v2_0002_step1,paired_step_v2,计算 (6 + 9) × 4。,1,3,步骤1：先计算括号内 6 + 9 = 14。,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 14。",1,step_incorrect,parentheses_addition_error,60,step_correct_vs_step_incorrect
pe_v2_0002_correct_step2,pe_v2_0002,pe_v2_0002_step2,paired_step_v2,计算 (6 + 9) × 4。,2,3,步骤2：再计算 15 × 4 = 60。,"题目：计算 (6 + 9) × 4。
步骤1：先计算括号内 6 + 9 = 15。
步骤2：再计算 15 × 4 = 60。",0,step_correct,none,60,step_correct_vs_step_incorrect
