id,trace_id,prompt,step_prefix_text,label,label_name,version,problem,step_index,num_steps,error_step_index,error_type,correct_answer,corrupted_answer
pe_v1_0000_corrupted_step1,pe_v1_0000,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。","题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。",0,before_error,corrupted,计算 26 + 12 + 23。,1,3,2,final_addition_error,61,59
pe_v1_0000_corrupted_step2,pe_v1_0000,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。","题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。",1,at_or_after_error,corrupted,计算 26 + 12 + 23。,2,3,2,final_addition_error,61,59
pe_v1_0000_corrupted_step3,pe_v1_0000,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。","题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。",1,at_or_after_error,corrupted,计算 26 + 12 + 23。,3,3,2,final_addition_error,61,59
pe_v1_0001_corrupted_step1,pe_v1_0001,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。","题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。",0,before_error,corrupted,计算 10 × 6 + 52。,1,3,2,final_addition_error,112,108
pe_v1_0001_corrupted_step2,pe_v1_0001,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。","题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。",1,at_or_after_error,corrupted,计算 10 × 6 + 52。,2,3,2,final_addition_error,112,108
pe_v1_0001_corrupted_step3,pe_v1_0001,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。","题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。",1,at_or_after_error,corrupted,计算 10 × 6 + 52。,3,3,2,final_addition_error,112,108
pe_v1_0002_corrupted_step1,pe_v1_0002,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。","题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。",0,before_error,corrupted,计算 (26 + 21) × 3。,1,3,2,final_multiplication_error,141,145
pe_v1_0002_corrupted_step2,pe_v1_0002,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。","题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。",1,at_or_after_error,corrupted,计算 (26 + 21) × 3。,2,3,2,final_multiplication_error,141,145
pe_v1_0002_corrupted_step3,pe_v1_0002,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。","题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。",1,at_or_after_error,corrupted,计算 (26 + 21) × 3。,3,3,2,final_multiplication_error,141,145
pe_v1_0003_corrupted_step1,pe_v1_0003,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。","题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。",0,before_error,corrupted,解方程 2x + 4 = 34。,1,3,2,division_error,15,13
